id,name,manufacturer,model,city,count
23R2146E000082303,"TML Chima Cars, Kooriyur",Delta Electronics,EVDE25D4DUM,RAMANATHAPURAM,2
TPDC20211260219,TML KD Motors Bareilly Road,telluspower,DC30KW,SHAHJAHANPUR,3
TPDC20220260554,Taj Sawai Madhopur Lodge,telluspower,DC30KW,SAWAI MADHOPUR,1
23R2110E0000851468NEW,Sankalp Recreation Private Limited Charging Station,Delta Electronics,EVDE25D4DUM,BHARUCH,2
23R2142E0000852184,Hotel Vivanta Patrapada Charging Station,Delta Electronics,EVDE25E4DUM,KHORDA,0
23R2003E0000850016NEW1,HP Service Center Sola Charging Station,Delta Electronics,EVDE25D4DUM,AHMEDABAD,0
23R2142E0000852172NEW,The Grand Legacy Mahabaleshwar Charging Station,Delta Electronics,EVDE25E4DUM,SATARA,5
ZJ3200900020WE,"IOCL Filling Station, IT Habitat",Delta Electronics,EVDE25D4DUM,CHANDIGARH,1
TPDC20210725020,TML Pragati Trading NH 37 Jorhat Charging Station,telluspower,DC30KW,JORHAT,1
23R2210E00C0850415,InFour Wheel Care And Tyres Perinthalmanna,Delta Electronics,EVDE25D4DUM,MALAPPURAM,1
23R2220E00C0850700NEW,Hotel Green Palace Charging Station,Delta Electronics,EVDE25E4DUM,HANUMANGARH,2
TPDC20211003085,Rajshree Resort Saladwas Charging Station,telluspower,DC30KW,JAIPUR,4
TPDC20211260226,IOCL Kalyani Fs,telluspower,DC30KW,WARANGAL,0
TPDC20210903025NEW,IOCL Sai Krupa Filling Station SH 26 Charging Station,telluspower,DC30KW,ANANTHAPUR,0
TPDC20211160041,Click Hotel Sadahalli,telluspower,DC30KW,Bangalore,2
23R2104E0000851437NEW,TML Progressive Cars NH8 Anand,Delta Electronics,EVDE25D4DUM,ANAND,0
TACW745021G5717,"Lodha Primero, Lower Parel (Private Charger)",Chargedot,CDT_TACW7::NET_4G,MUMBAI,0
BL0924001013T04003,Angadia Enterprise Charging Station,BelectriQ Mobility,AC01-10W3-3,SURAT,0
23R2130E0000851788NEW,MSK Fasteners Chinchwad,Delta Electronics,EVDE25D4DUM,PUNE,0
ACHBDCC03250175,The Hridayesh Spa Wilderness Resorts Charging Station,Neo urja,7.4kw single gun ,NAINITAL,2
TPDC163891,Hotel Uttaryan Charging Station,telluspower,DC60KW,TONK,0
23R2202E00C0850103NEW,Magadh Line Hotel Bhilai Pahari,Delta Electronics,EVDE25E4DUM,EAST SINGHBHUM,4
TPDC162621,The Oberoi Vanyavilas Charging Station,telluspower,DC60KW,SAWAI MADHOPUR,0
TPDC163889,The Oberoi Cecil Charging Station,telluspower,DC60KW,SHIMLA,3
TPDC20211260145,Naniwala Bagh Commercial Complex Azadpur Charging Station,telluspower,DC30KW,NORTH DELHI,5
TPDC20220260568,"TML Garapati Auto, Nidamanuru",telluspower,DC30KW,KRISHNA,1
TPDC20220260823,"S Cube Pine and Dine Restaurant Charging Station
",telluspower,DC,WARDHA,2
