id,name,manufacturer,model,city,count
23R2146E000082303,"TML Chima Cars, Kooriyur",Delta Electronics,EVDE25D4DUM,RAMANATHAPURAM,2
TPAC661,"Hotel Piccolo, Boarding Road",TP,SingleSocketCharger,SIBSAGAR,2
TPAC065NEW,Bhairaav Blessings (Private Charger),TP,SingleSocketCharger,MUMBAI,4
TPDC20211260219,TML KD Motors Bareilly Road,telluspower,DC30KW,SHAHJAHANPUR,3
TPDC20220260554,Taj Sawai Madhopur Lodge,telluspower,DC30KW,SAWAI MADHOPUR,1
23R2110E0000851468NEW,Sankalp Recreation Private Limited Charging Station,Delta Electronics,EVDE25D4DUM,BHARUCH,2
TPAC308,Tata Communication BKC (Private Charger),WWWW,SingleSocketCharger,MUMBAI,1
TPAC745,"Arkade Art Prima CHS, Mira Road East  (Private Charger-Green Energy Powered)",TP,SingleSocketCharger,MUMBAI,2
TPAC423,"Taj Resort & Convention Centre, Vainguinim Beach(Private Charger)",TP,SingleSocketCharger,NORTH GOA,1
23R2142E0000852172NEW,The Grand Legacy Mahabaleshwar Charging Station,Delta Electronics,EVDE25E4DUM,SATARA,2
TPAC160,UTI Asset Management (Private Charger-Green Energy Powered),TP,SingleSocketCharger,MUMBAI,1
TPDC20210725020,TML Pragati Trading NH 37 Jorhat Charging Station,telluspower,DC30KW,JORHAT,1
TPAC691,"Ramanujan IT Park, Taramani Block E (Private Charger)",TP,SingleSocketCharger,CHENNAI,1
23R2210E00C0850415,InFour Wheel Care And Tyres Perinthalmanna,Delta Electronics,EVDE25D4DUM,MALAPPURAM,1
23R2220E00C0850700NEW,Hotel Green Palace Charging Station,Delta Electronics,EVDE25E4DUM,HANUMANGARH,0
TPAC1211,DLF Chandigarh IT Park Sec 13 Charging Station,TP,SingleSocketCharger,PANCHKULA,1
TPAC331NEW,Head Quarter Delhi - Inside Parking (Private Charger),WWWW,SingleSocketCharger,SOUTH WEST DELHI,57
TPDC20211003085,Rajshree Resort Saladwas Charging Station,telluspower,DC30KW,JAIPUR,1
TPAC189NEW,JP Eminence (Private Charger),TP,SingleSocketCharger,MUMBAI,1
TPDC20211160041,Click Hotel Sadahalli,telluspower,DC30KW,Bangalore,2
TPAC518,Delhi Cantt 23 Acres Residential Complex (Private Charger),TP,SingleSocketCharger,SOUTH WEST DELHI,2
BL0924001013T04003,Angadia Enterprise Charging Station,BelectriQ Mobility,AC01-10W3-3,SURAT,0
ACHBDCC03250175,The Hridayesh Spa Wilderness Resorts Charging Station,Neo urja,7.4kw single gun ,NAINITAL,2
23R2202E00C0850103NEW,Magadh Line Hotel Bhilai Pahari,Delta Electronics,EVDE25E4DUM,EAST SINGHBHUM,2
TPAC1150,Tata Motors Passenger vehicles North Kotpura (Private Charger),TP,SingleSocketCharger,AHMEDABAD,37
TPDC20220260568,"TML Garapati Auto, Nidamanuru",telluspower,DC30KW,KRISHNA,1
TPDC20220260823,"S Cube Pine and Dine Restaurant Charging Station
",telluspower,DC,WARDHA,2
TPAC716,"Taj Mahal, Man Singh Rd (Private Charger)",TP,SingleSocketCharger,CENTRAL DELHI,0
TPDC20220260759,Shriya Stellar Mall Vidya Nagar Charging Station,telluspower,DC60KW,DHARWAD,4
TPDC20211160026NEW,Route 66 Charging Station,telluspower,DC30KW,SINDHUDURG,1
TPAC323NEW,Marathon ERA CHSL (Private Charger),TP,SingleSocketCharger,MUMBAI,1
23R2137E0000851980,Nine Palms Jirad Road (Private Charger),Delta Electronics,EVPE3225MUN,RAIGAD,3
TPAC442,"Taj Hari Mahal, Jodhpur (Private Charger)",TP,SingleSocketCharger,JODHPUR,2
23R2230E00C0850751,Marigold Banquet Bavdhan,Delta Electronics,EVDE25E4DUM,PUNE,0
TPAC349,Kendriya Vihar Co-operative Housing Society (Private charger),TP,SingleSocketCharger,PUNE,2
03202573,Pitambari Agro Tourism Dapoli,SIEMENS,SICHARGE RC 30,RATNAGIRI,2
TPDC20220761230,Vivanta Dal View Kralsangri Charging Station,telluspower,DC30KW,SRINAGAR,1
23R2003E0000850009NEW,"Tata Motors (Venkataramana Motors), ECIL",Delta Electronics,EVDE25D4DUM,HYDERABAD,0
ALB00102,Amaryllis Karol Bagh (Private Charger),EnnarSoft,BHARAT AC 001,CENTRAL DELHI,2
TPDC20211019039,Hotel Elite Para Road,telluspower,DC30KW,LUCKNOW,0
TPDC20211019003NEW,Vatika One on One Charging Station,telluspower,DC30KW,GURGAON,1
TPDC20211260279,"Hotel Hills, Krishnagiri Road",telluspower,DC30KW,VELLORE,1
TPDC20220260766,Hotel Niraj International Parbhani Charging Station,telluspower,DC,PARBHANI,1
TPDC20211003094NEW,Vatika One on One Charging Station,telluspower,DC30KW,GURGAON,1
23R2146E0000852318,TML GUGNANI AUTOCARS Mancheswar Industrial Estate Charging Station,Delta Electronics,EVDE25E4DUM,KHORDA,1
23R2130E0000851811,Hotel Greenland Towers Rupnarayanpur Charging Stations,Delta Electronics,EVDE25D4DUM,WEST MIDNAPORE,1
TPAC535,Gayatri Dham CHSL Pleasant Park (Private Charger-Green Energy Powered),TP,SingleSocketCharger,MUMBAI,0
23R2210E00C0850441NEW1, The Park lower Parel Charging Station,Delta Electronics,EVDE25E4DUM,MUMBAI,0
ZJ3211000035WE,White Rose Resorts Charging Station,Delta Electronics,EVDE25D4DUM,KURUKSHETRA,0
TPAC441,"Seawoods Estate CHS, Nerul (Private Charger)",TP,SingleSocketCharger,MUMBAI,0
TPDC20220260557,"Taj Fisherman’s Cove Resort & Spa, Chengalpattu",telluspower,DC30KW,KANCHIPURAM,2
TPDC20220260815,Hotel Ariyas Trichy Road Charging Station,telluspower,DC,TIRUPPUR,1
TPDC20211003054,Misty Mountain Teyla Peermade Charging Station,telluspower,DC30KW,IDUKKI,2
DD2310494710060,Automotive Kia,Exicom,HE518671,RANGAREDDY,0
